Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16",CP_Elec_5x5.3,2,47uF,
C11,1206,1,22nF,
"C12, C13, C3, C5, C6, C8",1206,6,100nF,
"C14, C7, C9",1206,3,1uF,
"C15, C2, C4",1206,3,22uF,
FB1,0603,1,FerriteBead_Small,
"J1, J13, J19, J2, J20, J23, J3, J4, J5, J8",PinHeader_1x02_P2.54mm_Vertical,10,Conn_01x02_Socket,
"J10, J11, J18",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Socket,
"J12, J7",PinHeader_1x11_P2.54mm_Vertical,2,Conn_01x11_Socket,
J14,TerminalBlock_RND_205-00069_1x04_P7.50mm_Horizontal,1,Screw_Terminal_01x04,
"J15, J21, J24, J25, J6",PinHeader_1x06_P2.54mm_Vertical,5,Conn_01x06_Socket,
"J16, J22",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
J17,GCT_USB4105-GF-A,1,USB4105-GF-A,
J26,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J27,RJ45_Amphenol_RJMG1BD3B8K1ANR,1,RJ45_Amphenol_RJMG1BD3B8K1ANR,
J9,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Socket,
L1,L_Taiyo-Yuden_NR-60xx,1,10uH,
"R1, R2, R3",2010,3,0R,
R4,0603,1,430R,
"R5, R6",0603,2,5.1K,
"R7, R8",0603,2,1K5,
SW1,SW_SPST_EVPBF,1,SW_RST,
SW2,SW_SPST_EVPBF,1,SW_BOOT,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP5, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP6, TP7, TP8, TP9",KOA_RCWCTE_TEST_POINT,57,TestPoint,
U1,TSOT-23-6,1,AP63203WU,
U2,SOIC-16_W3.90mm,1,FT230XS-R,FT230XS-R
U3,ESP32-S3-wrooom,1,ESP32-S3-WROOM-1,
U4,SSOP-20_5.3x7.2mm_P0.65mm,1,MAX31865xAP,
U5,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8720A,
